"","unique_id","report.","date","year","month","overall_type","category","type","type_desc","offense","i.ward","a.ward","a.city","a.county","a.state","a.race","a.gender","a.age","age_range","initiated"
"547",547,180014760,2018-03-26,"2018","03","Crime","Part II - Property","CA","Arrest","Vandalism","Ward 5","Ward 5","Takoma Park","Takoma Park (MC)","MD","Black","Man",19,"18-29","Public"
"548",548,180014817,2018-03-26,"2018","03","Crime","Part II - Nuisance","CA","Arrest","Trespassing","Ward 6","OOC","Silver Spring","Montgomery","MD","Black","Man",43,"40-49","Officer"
"549",549,180014817,2018-03-26,"2018","03","Crime","Part II - Nuisance","CA","Arrest","Trespassing","Ward 6","OOC","Silver Spring","Montgomery","MD","Black","Man",35,"30-39","Officer"
"550",550,180014817,2018-03-26,"2018","03","Crime","Part II - Nuisance","CA","Arrest","Trespassing","Ward 6","OOC","Laurel","Prince George's","MD","Black","Man",37,"30-39","Officer"
"551",551,180014059,2018-03-22,"2018","03","Crime","Part II - Nuisance","CA","Arrest","Trespassing","Ward 5","UNK","UNK","UNK","UNK","Black","Woman",42,"40-49","Public"
"552",552,180013849,2018-03-20,"2018","03","Crime","Part II - Nuisance","CA","Arrest","Trespassing","Ward 5","UNK","UNK","UNK","UNK","Black","Woman",26,"18-29","Public"
"553",553,180013716,2018-03-19,"2018","03","Crime","Miscellaneous","CA","Arrest","All Other - Criminal","Ward 6","UNK","UNK","UNK","UNK","Hispanic","Man",42,"40-49","Public"
"554",554,180013359,2018-03-17,"2018","03","Crime","Part I - Violent","JVA","Juvenile arrest","Robbery","Ward 6","OOC","Silver Spring","Montgomery","MD","Black","Man",17,"10-17","Public"
"555",555,180013187,2018-03-16,"2018","03","Crime","Miscellaneous","SVC","Warrant-service arrest","Warrant Service","Ward 6","OOC","Hyattsville","Prince George's","MD","Black","Man",48,"40-49","Officer"
"556",556,180012947,2018-03-15,"2018","03","Crime","Part I - Violent","CA","Arrest","Rape","Ward 6","OOC","Washington","DC","DC","Black","Man",28,"18-29","Public"
"557",557,170536453,2018-03-14,"2018","03","Crime","Miscellaneous","SVC","Warrant-service arrest","Warrant Service","Ward 6","OOC","Lanham","Prince George's","MD","Black","Man",27,"18-29","Public"
"558",558,180012029,2018-03-13,"2018","03","Crime","Miscellaneous","SVC","Warrant-service arrest","Warrant Service","Ward 6","OOC","Silver Spring","Montgomery","MD","Black","Man",43,"40-49","Detail"
"559",559,180012644,2018-03-13,"2018","03","Crime","Part I - Property","CA","Arrest","Larceny","Ward 6","OOC","Lanham","Prince George's","MD","Black","Man",28,"18-29","Public"
"560",560,180012427,2018-03-12,"2018","03","Crime","Miscellaneous","SVC","Warrant-service arrest","Warrant Service","Ward 5","Ward 5","Takoma Park","Takoma Park (MC)","MD","Black","Man",58,"50-59","Detail"
"561",561,180003426,2018-03-09,"2018","03","Crime","Part II - Nuisance","CA","Arrest","Trespassing","Ward 6","OOC","Bowie","Prince George's","MD","Black","Man",35,"30-39","Public"
"562",562,180008291,2018-03-07,"2018","03","Crime","Miscellaneous","SVC","Warrant-service arrest","Warrant Service","Ward 1","OOC","Silver Spring","Montgomery","MD","Black","Man",38,"30-39","Detail"
"563",563,180011206,2018-03-05,"2018","03","Crime","Part II - Nuisance","CA","Arrest","Trespassing","Ward 6","UNK","UNK","UNK","UNK","White","Man",39,"30-39","Officer"
"564",564,180010933,2018-03-03,"2018","03","Crime","Part I - Property","CA","Arrest","Burglary","Ward 5","UNK","UNK","UNK","UNK","Hispanic","Man",22,"18-29","Public"
"565",565,180010245,2018-03-02,"2018","03","Crime","Miscellaneous","SVC","Warrant-service arrest","Warrant Service","Ward 6","OOC","Largo","Prince George's","MD","Black","Man",39,"30-39","Public"
"566",566,180010488,2018-03-02,"2018","03","Crime","Part I - Property","CA","Arrest","Larceny","Ward 1","OOC","Silver Spring","Montgomery","MD","Black","Man",24,"18-29","Public"
"567",567,180009828,2018-02-26,"2018","02","Crime","Part II - Nuisance","CA","Arrest","Disorderly Conduct","Ward 6","UNK","UNK","UNK","UNK","Hispanic","Man",33,"30-39","Public"
"568",568,180009916,2018-02-26,"2018","02","Crime","Part I - Property","CRC","Criminal citation","Larceny","Ward 6","OOC","Silver Spring","Montgomery","MD","Hispanic","Man",21,"18-29","Public"
"569",569,180009916,2018-02-26,"2018","02","Crime","Part I - Property","CRC","Criminal citation","Larceny","Ward 6","OOC","Adelphi","Prince George's","MD","Hispanic","Man",21,"18-29","Public"
"570",570,180009956,2018-02-26,"2018","02","Crime","Part II - Violent","APP","Application for charges","Assault","Ward 5","OOC","Bethesda","Montgomery","MD","White","Woman",47,"40-49","Public"
"571",571,180009725,2018-02-25,"2018","02","Crime","Miscellaneous","CA","Arrest","All Other - Criminal","Ward 4","Ward 5","Takoma Park","Takoma Park (MC)","MD","Black","Man",22,"18-29","Public"
"572",572,180009308,2018-02-22,"2018","02","Crime","Miscellaneous","SVC","Warrant-service arrest","Warrant Service","Ward 2","Ward 2","Takoma Park","Takoma Park (MC)","MD","White","Man",48,"40-49","Detail"
"573",573,180007613,2018-02-21,"2018","02","Crime","Part II - Vice","CA","Arrest","CDS: Cocaine","Ward 6","OOC","Washington","DC","DC","Black","Man",31,"30-39","Public"
"574",574,180008841,2018-02-21,"2018","02","Crime","Part II - Vice","CA","Arrest","CDS: Cocaine","Ward 1","OOC","College Park","Prince George's","MD","Black","Man",23,"18-29","Self"
"575",575,180009030,2018-02-21,"2018","02","Crime","Miscellaneous","SVC","Warrant-service arrest","Warrant Service","Ward 1","OOC","Adelphi","Prince George's","MD","Hispanic","Woman",21,"18-29","Self"
"576",576,180008660,2018-02-19,"2018","02","Crime","Part I - Property","CRC","Criminal citation","Larceny","Ward 6","OOC","Hyattsville","Prince George's","MD","Black","Man",47,"40-49","Public"
"577",577,180008350,2018-02-18,"2018","02","Crime","Part II - Violent","CA","Arrest","Assault","Ward 5","Ward 5","Takoma Park","Takoma Park (MC)","MD","Black","Woman",18,"18-29","Public"
